Company Name,old_fv,new_fv,date,code
Best Eastern,2,1,14-11-2013,NA
Lifeline Drugs,10,1,13-11-2013,NA
Effingo Textile,10,1,13-11-2013,NA
Shree Nath Comm,1,10,31-10-2013,NA
Centron Ind,10,1,25-10-2013,NA
Ashiana Housing,10,2,24-10-2013,ASHIANA
Atharv Ent,10,1,18-10-2013,NA
Federal Bank,10,2,17-10-2013,FEDERALBNK
S R K Ind,10,5,11-10-2013,NA
Dhanleela,10,2,10-10-2013,NA
Rander Corp,10,1,09-10-2013,NA
Supremex,10,1,30-09-2013,NA
Ram Minerals,10,1,30-09-2013,NA
Kyra Landscapes,10,5,30-09-2013,NA
Intel Cap Adv,10,1,30-09-2013,NA
Mayur Uniquoter,10,5,25-09-2013,MAYURUNIQ
Nyssa Corp,10,1,16-09-2013,NA
Astral Poly Tec,5,2,05-09-2013,ASTRAL
Syncom Formula,10,1,19-08-2013,NA
CCL Products,10,2,19-08-2013,CCL
Virtual Global,10,1,14-08-2013,NA
Apcotex Ind,10,5,14-08-2013,APCOTEXIND
Neueon Towers,1,10,07-08-2013,NTL
Asian Paints,10,1,30-07-2013,ASIANPAINT
Kelvin Fincap,10,5,24-07-2013,NA
IFL Promoters,5,1,11-07-2013,NA
Advanta,10,2,05-07-2013,ADVANTA
Centrum Capital,10,1,03-07-2013,CENTRUM
Ashoka Buildcon,10,5,03-07-2013,ASHOKA
Westlife Dev,10,2,12-06-2013,WESTLIFE
Midland Polymer,10,1,10-06-2013,NA
Linkson Intl,10,5,06-06-2013,NA
MSR India,10,5,31-05-2013,NA
Mahavir Impex,10,5,17-05-2013,NA
Pine Animation,10,1,17-05-2013,NA
Veronica Prod,10,5,26-04-2013,NA
Safal Sec,10,5,23-04-2013,NA
PI Industries,5,1,12-04-2013,PIIND
Shekhawati Poly,10,1,10-04-2013,SPYL
Surabhi Chemica,10,1,10-04-2013,NA
Sybly Ind,1,10,04-04-2013,NA
Mindvision Cap,5,10,26-03-2013,NA
Bil Energy,10,1,26-03-2013,BILENERGY
Rasoya Protein,5,1,21-03-2013,RASOYPR
GFL Financials,5,2,18-03-2013,NA
Shree Shaleen,10,2,06-03-2013,NA
Raj Rayon Ind,10,1,04-03-2013,RAJRAYON
VKS Projects,10,1,27-02-2013,VKSPL
M&M Financial,10,2,15-02-2013,M&MFIN
PMC Fincorp,10,5,07-02-2013,NA
Sulabh Engineer,10,1,04-02-2013,NA
Frontline Sol,10,5,31-01-2013,NA
Radford Global,10,2,29-01-2013,NA
20 Microns,10,5,28-01-2013,20MICRONS
ACI Infocom,10,1,23-01-2013,NA
Moryo,10,5,14-01-2013,NA
Global Cap Mkts,1,10,10-01-2013,NA
Visesh Infotech,10,1,03-01-2013,VISESHINFO
Apollo Tricoat ,10,2,31-12-2014,NA
Omansh Ente,10,2,24-12-2014,NA
Info Drive Soft,10,1,24-12-2014,INFODRIVE
Shivamshree Bus,10,1,24-12-2014,NA
Inceptum Ent,10,1,18-12-2014,NA
JK Tyre & Ind,10,2,18-12-2014,JKTYRE
PNB,10,2,18-12-2014,PNB
Syschem India,1,10,12-12-2014,NA
ICICI Bank,10,2,04-12-2014,ICICIBANK
Godfrey Phillip,10,2,28-11-2014,GODFRYPHLP
Roto Pumps,10,2,27-11-2014,NA
Classic Global,10,1,27-11-2014,NA
Surana Telecom,5,1,25-11-2014,SURANAT&P
Surana Solar,10,5,25-11-2014,SURANASOL
Zen Tech,10,1,21-11-2014,ZENTEC
Sanguine Media ,10,1,20-11-2014,NA
Excel Castronic,10,2,20-11-2014,NA
SBI,10,1,20-11-2014,SBIN
Solis Marketing,10,1,18-11-2014,NA
NCL Research,10,2,17-11-2014,NA
Achal Invest,10,1,12-11-2014,NA
Shivam Auto,10,2,30-10-2014,SHIVAMAUTO
GCM Securities,10,1,28-10-2014,NA
Kridhan Infra,10,2,27-10-2014,KRIDHANINF
PMC Fincorp,5,1,22-10-2014,NA
Midas Infra,10,1,21-10-2014,NA
Sequel e-Router,1,10,17-10-2014,NA
Negotium Int,10,1,16-10-2014,NA
JBM Auto,10,5,08-10-2014,JBMA
Veronica Prod,5,1,08-10-2014,NA
Risa Intl,10,2,07-10-2014,NA
Sudarshan Chem,10,2,30-09-2014,SUDARSCHEM
Astral Poly Tec,2,1,25-09-2014,ASTRAL
Mah Corporation,10,1,25-09-2014,NA
La Opala RG,10,2,24-09-2014,LAOPALA
Southern Ispat,10,1,22-09-2014,SOUISPAT
Vertex Spinning,1,10,19-09-2014,NA
Panama Petro,10,2,19-09-2014,PANAMAPET
Atul Auto,10,5,12-09-2014,ATULAUTO
Allied Computer,10,1,11-09-2014,NA
Alkyl Amines,10,5,08-09-2014,ALKYLAMINE
Camlin Fine,2,1,04-09-2014,CAMLINFINE
JK Bank,10,1,04-09-2014,J&KBANK
PS IT Infra,10,1,03-09-2014,NA
Man Infra,10,2,28-08-2014,MANINFRA
Havells India,5,1,26-08-2014,HAVELLS
Zodiac Ventures,10,1,21-08-2014,NA
Mystic Electr,10,1,14-08-2014,NA
Mukta Agri,10,1,14-08-2014,NA
Alps Motor Fin,10,1,04-08-2014,NA
Axis Bank,10,2,28-07-2014,AXISBANK
Swadeshi Ind,10,1,02-07-2014,NA
Orosil Smiths,10,5,26-06-2014,NA
Thacker,10,5,10-01-2014,NA
Deepak Nitrite,10,2,20-06-2014,DEEPAKNTR
Greencrest Fin,10,1,05-06-2014,NA
Trinity Trade,10,1,23-05-2014,NA
Rekvina Labs,10,5,30-04-2014,NA
Kriptol Ind,5,10,23-04-2014,NA
Cubical Fin Ser,10,2,23-04-2014,NA
Matra Kaushal,10,1,23-04-2014,NA
Swagruha Infra,10,1,04-04-2014,NA
CHL,10,2,03-04-2014,NA
Vikas Ecotech,10,1,27-03-2014,VIKASECO
Raj Television,10,5,25-03-2014,RAJTV
Aarya Global,1,10,19-03-2014,NA
Vishvjyoti Trad,10,1,19-03-2014,NA
Premier Cap,10,1,19-03-2014,NA
Atlanta Infra,10,1,14-03-2014,NA
Him Teknoforge ,10,2,03-03-2014,NA
Finkurve Fin,10,1,26-02-2014,NA
R Systems Intl,10,1,26-02-2014,RSYSTEMS
Sharon Bio Medi,10,2,20-02-2014,SHARONBIO
Swan Energy,2,1,03-02-2014,SWANENERGY
Sam Leaseco,10,1,29-01-2014,NA
Kaveri Seed,10,2,27-01-2014,KSCL
BS Limited,10,1,21-01-2014,BSLIMITED
Mishka Finance,10,1,16-01-2014,NA
Cressanda Sol,10,1,13-01-2014,NA
Maa Jagdambe,10,2,09-01-2014,NA
Nivyah Infra,10,100,07-01-2014,NIVINFRA
Chaman Lal Seti,10,2,29-12-2015,NA
MFL India,10,1,22-12-2015,NA
Indian Terrain,10,2,21-12-2015,INDTERRAIN
SMS Pharma,10,1,17-12-2015,SMSPHARMA
Setco Auto,10,2,16-12-2015,SETCO
Citizen Yarns,10,5,16-12-2015,NA
Noble Polymers,10,5,16-12-2015,NA
Jackson Invt,10,1,15-12-2015,NA
Khoobsurat,10,1,14-12-2015,NA
J Kumar Infra,10,5,10-12-2015,JKIL
CCL Internation,2,10,04-12-2015,NA
Jamna Auto,10,5,03-12-2015,JAMNAAUTO
Sharp Invest,10,1,02-12-2015,NA
Vivid Global,10,5,02-12-2015,NA
Vitan Agro,10,1,26-11-2015,NA
Rander Corp,1,10,26-11-2015,NA
Natco Pharma,10,2,26-11-2015,NATCOPHARM
Avanti Feeds,10,2,26-11-2015,AVANTIFEED
Assoc Stone,5,1,26-11-2015,ASOCSTONE
Shilpa,2,1,06-11-2015,SHILPAMED
Infronics Syst,5,10,05-11-2015,NA
Mahalaxmi Rub,1,10,05-11-2015,NA
Inceptum Ent,1,10,03-11-2015,NA
Mahavir Ind,10,5,02-11-2015,NA
Diligent Ind,10,5,30-10-2015,NA
Kesar Petro,10,1,30-10-2015,NA
Negotium Int,1,10,29-10-2015,NA
Quasar India,10,1,12-02-2015,NA
Sarla Performan,10,1,29-10-2015,SARLAPOLY
Mudunuru,10,2,15-10-2015,NA
Oripro,10,2,15-10-2015,NA
Lambodhara Text,10,5,15-10-2015,LAMBODHARA
Bata India,10,5,07-10-2015,BATAINDIA
Cadila Health,5,1,06-10-2015,CADILAHC
Toyam Ind,10,1,05-10-2015,NA
Alankit,10,2,23-09-2015,ALANKIT
Samtex Fashions,10,2,22-09-2015,NA
Aegis Logistics,10,1,16-09-2015,AEGISCHEM
Urja Global,10,1,16-09-2015,URJA
Kushal,10,2,03-09-2015,NA
ITD Cementation,10,1,21-08-2015,ITDCEM
Signet Ind,10,1,17-08-2015,SIGIND
Kausambi Vanij,10,1,14-08-2015,NA
High Ground Ent,10,1,16-07-2015,HIGHGROUND
Birdhi Chand,10,1,02-07-2015,NA
JMT Auto,10,2,25-06-2015,JMTAUTOLTD
ASIS Logistics,100,1,12-06-2015,NA
Fineotex Chem,10,2,11-06-2015,FCL
Sunstar Realty,10,1,04-06-2015,NA
Elpro Int,10,2,04-06-2015,ELPROINTL
Rollatainers,10,2,04-06-2015,ROLLT
Kkalpana Ind,10,2,21-05-2015,NA
Shri Mahalaxmi,10,5,18-05-2015,NA
Rasi Electrodes,10,2,11-05-2015,NA
Indag Rubber,10,2,23-04-2015,NA
Titagarh Wagons,10,2,23-04-2015,TWL
Arnold Holdings,10,2,16-04-2015,NA
Pitti Engineeri,10,5,16-04-2015,PITTIENG
Menon Bearings,5,1,09-04-2015,MENONBE
KSS,10,1,30-03-2015,KSERASERA
Millennium,10,1,30-03-2015,NA
Rajlaxmi Ind,10,1,27-03-2015,NA
Kansai Nerolac,10,1,26-03-2015,KANSAINER
Panafic Ind,10,1,25-03-2015,NA
Granules India,10,1,23-03-2015,GRANULES
Ajanta Pharma,5,2,20-03-2015,AJANTPHARM
Tech Mahindra,10,5,19-03-2015,TECHM
Monotype India ,10,1,16-03-2015,NA
Aplaya Creation,10,1,11-03-2015,NA
Channel Nine,10,1,02-03-2015,NA
Amines Plast,10,2,27-02-2015,NA
Hikal,10,2,27-02-2015,HIKAL
Grandma Trading,10,1,26-02-2015,NA
Bala Techno,10,1,25-02-2015,NA
HPC Bio,10,1,20-02-2015,NA
Zyden Gentec,10,2,18-02-2015,NA
Yamini Invt,10,1,18-02-2015,NA
Esteem Bio,10,1,11-02-2015,NA
Him Fibres,10,1,09-02-2015,NA
Poly Medicure,10,5,02-02-2015,POLYMED
Tata Coffee,10,1,23-01-2015,TATACOFFEE
Corporation Bk,10,2,22-01-2015,CORPBANK
Bank of Baroda,10,2,22-01-2015,BANKBARODA
RS Software,10,5,21-01-2015,RSSOFTWARE
Berger Paints,2,1,08-01-2015,BERGEPAINT
Eco Friendly,10,1,08-01-2015,NA
Hathway Cable,10,2,06-01-2015,HATHWAY
Minda Corp,10,2,05-01-2015,MINDACORP
Gulshan Poly,5,1,27-12-2016,GULPOLY
Shree Global,5,1,21-12-2016,NA
TTI Enterprise,2,10,21-12-2016,NA
Alankit,2,1,15-12-2016,ALANKIT
KNR Construct,10,2,13-12-2016,KNRCON
Chandni Textile,1,10,08-12-2016,NA
Satkar Finlease,10,1,08-12-2016,NA
Sunil HitechEng,10,1,01-12-2016,SUNILHITEC
KPR Mill,10,5,29-11-2016,KPRMILL
Veerhealth Care,1,10,29-11-2016,NIYATILEAS
Mangalam Ind,10,1,29-11-2016,NA
Capri Global,10,2,23-11-2016,CGCL
Karur Vysya,10,2,17-11-2016,KARURVYSYA
Indo Count,10,2,11-11-2016,ICIL
Inani Marbles,10,2,10-11-2016,NA
Vama Ind,10,2,02-11-2016,NA
Gold Line,10,1,28-10-2016,NA
Bhageria Indu,10,5,26-10-2016,BHAGERIA
Negotium Int,10,1,25-10-2016,NA
VKJ Infra,10,1,25-10-2016,NA
Viji Finance,10,1,25-10-2016,VIJIFIN
Menon Pistons,10,1,20-10-2016,NA
Welcon Internat,10,1,20-10-2016,NA
Caplin Labs,10,2,19-10-2016,CAPLIPOINT
Srestha Finvest,10,2,13-10-2016,NA
Safal Sec,5,10,13-10-2016,NA
Gyscoal Alloys,10,1,13-10-2016,GAL
Pact Industries,10,1,10-10-2016,NA
8K Miles Soft,10,5,10-10-2016,8KMILES
Grasim,10,2,06-10-2016,GRASIM
Diamond Info,10,1,04-10-2016,NA
Kajaria Ceramic,2,1,04-10-2016,KAJARIACER
Rollatainers,2,1,22-09-2016,ROLLT
JMT Auto,2,1,21-09-2016,JMTAUTOLTD
Minda Ind,10,2,12-09-2016,MINDAIND
Trent,10,1,12-09-2016,TRENT
Bajaj Finance,10,2,08-09-2016,BAJFINANCE
Mishtann Foods,10,1,08-09-2016,NA
HICS Cements,10,1,08-09-2016,NA
Chembond Chem,10,5,06-09-2016,NA
V-Guard Ind,10,1,30-08-2016,VGUARD
Pil Italica,4,1,24-08-2016,PILITA
PNC Infratech,10,2,12-08-2016,PNCINFRA
Kesar Terminals,10,5,11-08-2016,KTIL
Bombay Wire Rop,10,1,09-08-2016,NA
Lloyds Metals,2,1,26-07-2016,LLOYDMETAL
Solar Ind,10,2,13-07-2016,SOLARINDS
Lux Industries,10,2,06-06-2016,LUXIND
NBCC (India),10,2,02-06-2016,NBCC
Transcorp Intl,10,2,13-05-2016,NA
PS IT Infra,1,10,11-05-2016,NA
Amba Enterprise,10,5,09-05-2016,NA
Palred Tech,5,10,26-04-2016,PALREDTEC
ABM Knowledg,10,5,07-04-2016,NA
Adithya Aqua,10,5,06-04-2016,NA
Blue Cloud,10,5,06-04-2016,NA
Vivimed Labs,10,2,06-04-2016,VIVIMEDLAB
Uttam Value,5,1,28-03-2016,UVSL
Synthiko Foils,10,5,22-03-2016,NA
Veer Energy,1,10,22-03-2016,NA
Precision Wires,10,5,21-03-2016,PRECWIRE
Welspun India,10,1,21-03-2016,WELSPUNIND
Tide Water Oil,10,5,16-03-2016,TIDEWATER
Rama Steel Tube,10,5,14-03-2016,RAMASTEEL
Prakash Steelag,10,1,03-03-2016,PRAKASHSTL
Sequent Scienti,10,2,25-02-2016,SEQUENT
Bhandari Hosier,10,1,25-02-2016,BHANDARI
Vegetable Prod,10,1,18-02-2016,NA
Mold Tek Tech,10,2,17-02-2016,MOLDTECH
Mold-Tek Pack,10,5,17-02-2016,MOLDTKPAC
Mystic Electr,1,10,08-02-2016,NA
Netlink Sol,1,10,28-01-2016,NA
Mukta Agri,1,10,14-01-2016,NA
Stampede Cap,10,1,07-01-2016,STAMPEDE
Greenply Ind,5,1,06-01-2016,GREENPLY
Confidence Fin,1,10,27-12-2017,NA
Jindal Worldwid,10,5,26-12-2017,JINDWORLD
Premier Pipes,10,5,22-12-2017,NA
Advik Capital ,10,1,14-12-2017,NA
JMD Ventures,1,10,04-12-2017,NA
Universal Sec,5,1,04-12-2017,NA
Akar Auto Indus,10,5,29-11-2017,NA
Esaar (India),1,10,10-11-2017,NA
IGL,10,2,09-11-2017,IGL
Jagdamba Polyme,10,1,01-11-2017,NA
Atlas Cycles,10,5,30-10-2017,ATLASCYCLE
BAMPSL Sec,1,10,26-10-2017,NA
Siyaram Silk,10,2,25-10-2017,SIYSIL
Vishal Fabrics,10,5,24-10-2017,VISHAL
Blue Circle Ser,1,10,23-10-2017,NA
Pokarna,10,2,18-10-2017,POKARNA
Dwekam Industri,10,1,28-04-2017,NA
Can Fin Homes,10,2,12-10-2017,CANFINHOME
Heritage Foods,10,5,10-10-2017,HERITGFOOD
Jamna Auto,5,1,05-10-2017,JAMNAAUTO
IND Renewable,1,10,29-09-2017,NA
Everlon Synth,1,10,29-09-2017,NA
Transformers,10,1,28-09-2017,TRIL
Trans & Electr,10,1,28-09-2017,NA
Elpro Int,2,1,27-09-2017,ELPROINTL
Sutlej Textiles,10,1,26-09-2017,SUTLEJTEX
Safari Ind,10,2,22-09-2017,SAFARI
Yes Bank,10,2,21-09-2017,YESBANK
NESCO,10,2,15-09-2017,NESCO
Borosil Glass,10,1,14-09-2017,BOROSIL
Deccan Cements,10,5,11-09-2017,DECCANCE
Dollar Ind,10,2,31-08-2017,DOLLAR
Infibeam Avenue,10,1,31-08-2017,INFIBEAM
Banas Finance,1,10,29-08-2017,NA
Orosil Smiths,5,1,24-08-2017,NA
Global Infra,1,10,23-08-2017,NA
Dwarikesh Sugar,10,1,10-08-2017,DWARKESH
Coral India Fin,10,2,03-08-2017,CORALFINAC
Sai Baba Invest,10,1,27-07-2017,NA
Sunteck Realty,2,1,25-07-2017,SUNTECK
Navin Fluorine,10,2,19-07-2017,NAVINFLUOR
Arcotech,10,2,22-06-2017,ARCOTECH
SKS,10,2,22-06-2017,SKSIND
Hind Composites,10,5,25-05-2017,HINDCOMPOS
Advanced Enzyme,10,2,25-05-2017,ADVENZYMES
Mangal Credit,10,1,17-05-2017,NA
Mishtann Foods,1,10,05-05-2017,NA
HICS Cements,1,10,05-05-2017,NA
Beardsell,10,2,04-05-2017,BEARDSELL
BLS Internation,10,1,26-04-2017,BLS
Avance Tech,1,10,24-04-2017,NA
Maral Finance,1,10,13-04-2017,NA
Ontic Finserve,1,10,13-04-2017,NA
Veronica Prod,1,10,23-03-2017,NA
SVC Resources,1,10,23-03-2017,NA
Bharat Elec,10,1,16-03-2017,BEL
Viaan Ind,10,1,09-03-2017,NA
Aadhaar Venture,1,10,02-03-2017,NA
Nutraplus India,10,5,27-02-2017,NA
Allied Computer,1,10,17-02-2017,NA
Dwitiya Trading,10,2,17-02-2017,NA
Compuage Info,10,2,16-02-2017,COMPINFO
Gayatri Project,10,2,10-02-2017,GAYAPROJ
LT Foods,10,1,07-02-2017,DAAWAT
Rasoi,10,200,02-02-2017,NA
Khemani Distrib,10,5,02-02-2017,NA
Kallam Spinning,10,2,02-02-2017,NA
Ushdev Intl,10,1,30-01-2017,USHDEVINT
Sanguine Media ,1,10,19-01-2017,NA
Sterling Tools,10,2,09-01-2017,STERTOOLS
JSW Steel,10,1,04-01-2017,JSWSTEEL
Sayaji Industri,10,5,27-12-2018,NA
ORIENTAL AROMAT,10,5,13-12-2018,OAL
Britannia,2,1,29-11-2018,BRITANNIA
Mangal Credit,1,10,26-11-2018,NA
Brijlaxmi Lease,1,10,15-11-2018,NA
Oriental Veneer,10,1,14-11-2018,NA
SEL,10,1,12-11-2018,SAKUMA
KIC Metaliks,10,2,02-11-2018,NA
Mishtann Foods,10,1,01-11-2018,NA
HICS Cements,10,1,01-11-2018,NA
DFM Foods,10,2,01-11-2018,DFMFOODS
Jindal Worldwid,5,1,31-10-2018,JINDWORLD
Damodar Ind,10,5,25-10-2018,DAMODARIND
Frontline Sec,10,5,22-10-2018,NA
Colorchips New ,1,10,22-10-2018,NA
IEX,10,1,19-10-2018,IEX
Apollo Sindoori,10,5,12-10-2018,APOLSINHOT
Unimode Oversea,1,10,11-10-2018,NA
JMC Projects,10,2,04-10-2018,JMCPROJECT
Kirloskar Pneum,10,2,26-09-2018,KGKHOSLA
Captain Poly,10,2,19-09-2018,NA
Generic Eng,10,5,17-09-2018,NA
Zensar Tech,10,2,07-09-2018,ZENSARTECH
Thirumalai Chem,10,1,14-08-2018,TIRUMALCHM
Airan,10,2,14-08-2018,AIRAN
Signet Ind,1,10,13-08-2018,SIGIND
DIL,10,5,08-08-2018,NA
Gallantt Ispat,10,1,07-08-2018,GALLISPAT
Otco Intl,10,2,10-07-2018,NA
Shrenik,10,2,09-07-2018,SHRENIK
Filatex India,10,2,27-06-2018,FILATEX
Container Corp,10,5,26-06-2018,CONCOR
Avanti Feeds,2,1,26-06-2018,AVANTIFEED
Uniply Ind,10,2,25-06-2018,UNIPLY
Vikas Proppant ,10,1,22-06-2018,VIKASPROP
United Spirits,10,2,15-06-2018,MCDOWELL-N
Swadeshi Ind,1,10,14-06-2018,NA
B C Power Contr,10,2,14-06-2018,BCP
Lumax Auto Tech,10,2,07-06-2018,LUMAXTECH
Gaekwar Mills,100,10,31-05-2018,NA
Gala Global Prd,10,5,10-05-2018,NA
Citurgia Bioche,10,2,26-04-2018,CITURGIBIO
NBCC (India),2,1,25-04-2018,NBCC
A Infra.,10,5,20-04-2018,NA
Foods and Inns,10,1,19-04-2018,NA
Shivalik Rasa,10,5,19-04-2018,NA
Phillips Carbon,10,2,19-04-2018,PHILIPCARB
Think Ink Studi,10,1,17-04-2018,NA
Amrutanjan Heal,2,1,13-04-2018,AMRUTANJAN
Atharv Ent,1,10,12-04-2018,NA
Ruchika Industr,10,5,10-04-2018,NA
Marathon Realty,10,5,05-04-2018,MARATHON
India Nippon,10,5,21-03-2018,INDNIPPON
SRS Finance,10,1,09-02-2018,NA
Singer India,10,2,17-01-2018,SINGER
Super Crop Safe,10,2,04-01-2018,NA
Satia Ind,10,1,15-10-2019,SATIA
HDFC Bank,2,1,19-09-2019,HDFCBANK
Prime Industrie,10,5,12-09-2019,NA
Master Trust,10,5,26-08-2019,NA
Seshasayee Pape,10,2,19-08-2019,SESHAPAPER
Sinnar Bidi,10,5,30-07-2019,NA
Apcotex Ind,5,2,04-07-2019,APCOTEXIND
Cholamandalam,10,2,14-06-2019,CHOLAFIN
Ekam Leasing,10,5,14-06-2019,NA
Jullundur Motor,10,2,14-05-2019,JMA
Orient Trade,10,2,07-05-2019,NA
Madhav Copper,10,5,02-05-2019,MCL
Dhanleela,2,5,12-04-2019,NA
Lesha Ind,10,1,11-04-2019,NA
Generic Pharmas,10,1,11-04-2019,NA
Woodsvilla,10,5,04-04-2019,NA
Sai Baba Invest,1,10,28-03-2019,NA
ISGEC Heavy Eng,10,1,28-03-2019,SARASIND
Nitin Castings,10,5,14-03-2019,NA
Kedia Construct,10,5,14-03-2019,NA
ISL Consulting,10,5,08-03-2019,NA
Jam Shri Ranjit,10,1000,21-02-2019,NA
Music Broadcast,10,2,20-02-2019,RADIOCITY
The Indian Wood,10,2,15-02-2019,NA
Sadhana Nitro,10,5,29-01-2019,NA
Comfort,1,10,24-01-2019,NA
Gujarat Gas,10,2,15-01-2019,GUJGASLTD
Acrysil India,10,2,10-01-2019,NA
